"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Venom: Let There Be Carnage","2021","Montgomery and Green",,"SM Film Productions","Sony Pictures","Andy Serkis","Kelly Marcel","Tom Hardy","Michelle Wiliams","Woody Harrelson","POINT (-122.4036859 37.7972387)","-122.4036859","37.7972387","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The OA Part II","2019","Waverly Pl btwn Washington and Clay St",,"Lunar Mining LLC","Netflix","Zal Batmanglij","Zal Batmanglij, Brit Marling","Brit Marling","Emory Cohen","Patrick Gibson","POINT (-122.4069298 37.7950135)","-122.4069298","37.7950135","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"180","2011","Randall Museum",,"SPI Cinemas",,"Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba","Siddarth","Nithya Menon","Priya Anand","POINT (-122.4383192 37.764426)","-122.4383192","37.764426","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"San Andreas","2015","Fort Baker",,"Upside Down Productions, Inc.","Warner Bros.","Brad Peyton","Allan Loeb","Dwayne Johnson",,,"POINT (-122.4788979 37.8360614)","-122.4788979","37.8360614",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dirty Harry","1971","Forest Hill Station- MUNI",,"The Malpaso Company","Warner Brothers","Don Siegel","Harry Julian Fink","Clint Eastwood","Harry Guardino",,"POINT (-122.4591718 37.7480485)","-122.4591718","37.7480485","West of Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Surface","2022","Montgomery Street at Market",,"Apple Studios, LLC","Apple TV+","Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman","Gugu Mbatha-Raw","Oliver Jackson-Cohen","Ari Graynor","POINT (-122.4019961 37.7888143)","-122.4019961","37.7888143","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","18th btwn Dolores and Church",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4257032 37.7613966)","-122.4257032","37.7613966","Mission","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Experiment in Terror","1962","Candlestick Park","Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.","Columbia Pictures Corporation","Columbia Pictures","Blake Edwards","The Gordons","Glenn Ford","Lee Remick","Stefanie Powers","POINT (-122.3815252 37.7127107)","-122.3815252","37.7127107","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quitters","2015","Bechelli's Flower Market Café",,"Frederick & Ashbury, LLC.",,"Noah Pritzker","Noah Pritzker","Kara Hayward","Mira Sorvino","Saffron Burrows","POINT (-122.401021 37.7750386)","-122.401021","37.7750386","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Budding Prospects, Pilot","2017","1167 Alabama Street",,"Picrow Streaming Inc.","Amazon","Terry Zwigoff","Melissa Axelrod, T. C. Boyle (based on the book by)","Adam Rose","Will Sasso","Joel David Moore","POINT (-122.4108224 37.7532795)","-122.4108224","37.7532795","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","1243 19th Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.395262 37.7611617)","-122.395262","37.7611617","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Game","1997","Ritz-Carlton Hotel (600 Stockton Street)",,"Polygram Filmed Entertainment","Polygram Filmed Entertainment","David Fincher","John Brancato","Michael Douglas","Sean Penn","Deborah Kara Unger","POINT (-122.4070392 37.7918754)","-122.4070392","37.7918754","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","Treasure Island",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.3699786 37.825284)","-122.3699786","37.825284","Treasure Island","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance - Season 1 Pilot","2016","Washington Square Park",,"TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham and Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4102464 37.8007752)","-122.4102464","37.8007752","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom","2018","Geary St at Leavenworth St",,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing","Ruben Fleischer","Jeff Pinkner, Scott Rosenberg","Tom Hardy","Michelle Wiliams","Riz Ahmed","POINT (-122.4148268 37.7865283)","-122.4148268","37.7865283","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"I Am Michael","2015","Sanchez/Cumberland steps and sidewalks",,"That’s Hollywood",,"Justin Kelly","Justin Kelly","James Franco","Emma Roberts","Zachary Quinto","POINT (-122.4304368 37.7593234)","-122.4304368","37.7593234","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","Greenwich St at Battery St",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.4020222 37.8032531)","-122.4020222","37.8032531","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Blindspotting (Season 2)","2023","Coqueta at Pier 7, San Francisco",,"Blindspotting Productions Inc.","Starz","Rafael Casal, Jess Wu Calder,","Brittany Miller, Benjamin Earl Turner, Rafael Casal & Daveed Diggs, Sarah LaBrie, Obehi Janice, Sanjay Shah, Nyesha Littlejohn & Susan Park","Jasmine Cephas Jones","Jaylen Barron","Rafael Casal","POINT (-122.3966387 37.7985824)","-122.3966387","37.7985824","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","Larkin & Francisco Streets (Russian Hill)",,"Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn","POINT (-122.4218114 37.8035669)","-122.4218114","37.8035669","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Black Man in San Francisco","2019","3rd St btwn Evans and Oakdale",,"LBMISF, LLC","A24","Joe Talbot","Joe Talbot, Jimmie Fails, Rob Richert","Jimmie Fails","Jonathan Majors","Danny Glover","POINT (-122.38772 37.74244)","-122.38772","37.74244","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 210","2015","Twin Peaks Park",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4474131 37.7529149)","-122.4474131","37.7529149","Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Grid around Union Square",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4065591 37.7821773)","-122.4065591","37.7821773","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","901 Missouri Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3955818 37.7548219)","-122.3955818","37.7548219","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Desperate Measures","1998",,,"Mandalay Entertainment","TriStar Pictures","Barbet Schroeder","David Klass","Michael Keaton","Andy Garcia","Raven-Symone",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 1","2014","13 Lucky Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.413422 37.7522478)","-122.413422","37.7522478","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 210","2015","Willy's Barber shop, 3227 22nd Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4195427 37.7552119)","-122.4195427","37.7552119","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"D.O.A","1950","Chambord Apartments (1298 Sacramento Street at Jones)",,"Cardinal Pictures","United Artists","Rudolph Mate","Russell Rouse","Edmond O'Brien","Pamela Britton","Luther Adler","POINT (-122.4141247 37.7924899)","-122.4141247","37.7924899","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","87 Cervantes Blvd (beach)",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.4389872 37.803747)","-122.4389872","37.803747","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tales of the City","2019","Castro District",,"Universal Television LLC","Netflix","Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley","Laura Linney","Ellen Page","Murray Bartlett","POINT (-122.435033 37.7608937)","-122.435033","37.7608937","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Java St","VFX Plate Shots","PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.4438535 37.7668755)","-122.4438535","37.7668755","Haight Ashbury","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Diary of a Teenage Girl","2015","Higher Grounds Coffee House",,"Diary the Movie, LLC","Sony Pictures Classics","Marielle Heller","Marielle Heller","Alexander Skarsgard","Kristen Wiig","Christopher Meloni","POINT (-122.4337293 37.7344121)","-122.4337293","37.7344121","Glen Park","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Presidio","1988","Presidio (Golden Gate National Recreation Area)","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.","Paramount Pictures","Paramount Pictures","Peter Hyams","Larry Ferguson","Sean Connery","Mark Harmon","Meg Ryan","POINT (-122.4810057 37.7923841)","-122.4810057","37.7923841","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Godzilla","2014","Pier 1",,"Nautilus Productions, LLC","Warner Bros. Pictures","Gareth Edwards","Max Borenstein","Aaron Taylor-Johnson","Elizabeth Olsen","Bryan Cranston","POINT (-122.3924358 37.7949305)","-122.3924358","37.7949305","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8 - Season 2","2016","The Women's Building, 3543 18th St.","The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews","POINT (-122.4227025 37.7614492)","-122.4227025","37.7614492","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Always Be My Maybe","2019","California Cable Car Line",,"Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","POINT (-122.4152538 37.8053227)","-122.4152538","37.8053227","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","Mission Inn (5630 Mission St)",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.4472667 37.7111667)","-122.4472667","37.7111667","Outer Mission","11","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Jawbone at 99 Rhode Island St.",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4023928 37.7689208)","-122.4023928","37.7689208","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Gentleman Jim","1942","The Barbary Coast","The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.","Warner Bros. Pictures","Warner Bros. Pictures","Raoul Walsh","Vincent Lawrence","Errol Flynn","Alexis Smith","Jack Carson","POINT (-122.4078009 37.7819145)","-122.4078009","37.7819145","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Doctor Dolittle","1998","Webster Street",,"Twentieth Century Fox Film Cooperation","Twentieth Century Fox Film Cooperation","Betty Thomas","Nat Mauldin","Eddie Murphy","Ossie Davis",,"POINT (-122.4319526 37.7878177)","-122.4319526","37.7878177","Pacific Heights","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Maxie","1985","Asian Art Museum (200 Larkin Street, Civic Center)","The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.","Elsboy Entertainment","Orion Pictures Corporation","Paul Aaron","Patricia Resnick","Glenn Close","Mandy Patinkin","Ruth Gordon","POINT (-122.4161985 37.7801637)","-122.4161985","37.7801637","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"When a Man Loves a Woman","1994","Buena Vista Café (2765 Hyde Street)",,"Touchstone Pictures","Buena Vista Pictures","Luis Mandoki","Ronald Bass","Andy Garcia","Meg Ryan",,"POINT (-122.4207822 37.8065278)","-122.4207822","37.8065278","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 210","2015","SF City Hall Polk Street Steps",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Panther","1995",,,"Gramercy Pictures","PolyGram Video","Mario Van Peebles","Mario Van Peebles","Kadeem Hardison","Bookeem Woodbine",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Birth of the Dragon","2016","Pier 45 - Jeremiah O'Brien Liberty Ship","The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","POINT (-122.4178564 37.8109433)","-122.4178564","37.8109433",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Jade","1995","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Paramount Pictures","Paramount Pictures","William Friedkin","Joe Eszterhas","David Caruso","Linda Fiorentino","Chazz Palminteri","POINT (-122.4100923 37.7923883)","-122.4100923","37.7923883","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom","2018","Hemlock Alley btwn Polk and Larkin",,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing","Ruben Fleischer","Jeff Pinkner, Scott Rosenberg","Tom Hardy","Michelle Wiliams","Riz Ahmed","POINT (-122.4202587 37.7873893)","-122.4202587","37.7873893","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 202","2015","651 Brannan Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.3998823 37.7754094)","-122.3998823","37.7754094","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","California Street at Davis",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.3976317 37.7935159)","-122.3976317","37.7935159","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Twisted","2004","The Saloon (1232 Grant Avenue)",,"Paramount Pictures","Paramount Pictures","Philip Kaufman","Sarah Thorp","Ashley Judd","Samuel L. Jackson",,"POINT (-122.4070096 37.7986328)","-122.4070096","37.7986328","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Mission (aka City of Bars)","2001","The 500 Club (500 Guerrero Street, Mission District)",,"NA","NA","Loren Marsh","Loren Marsh","Chris Coburn",,,"POINT (-122.4241968 37.7630249)","-122.4241968","37.7630249","Mission","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"DEVS","2020","Alameda at San Bruno Ave",,"Minim Productions","FX Network","Alex Garland","Alex Garland","Sonoya Mizuno","Nick Offerman","Jin Ha","POINT (-122.4058947 37.7684814)","-122.4058947","37.7684814","Mission","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Magnum Force","1973","280 Freeway at Pennsylvania and Mariposa Streets",,"The Malpaso Company","Warner Bros. Pictures","Ted Post","John Milius","Clint Eastwood","Hal Holbrook","Mitchell Ryan",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
