id,lat,lon,name,type,operator,route_ref,network,wheelchair,shelter,bench,bus,tram,subway,light_rail
node/6582454755,37.7963879,-122.3951448,The Embarcadero & Washington Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454756,37.7954794,-122.3943,Ferry Building,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454757,37.7949113,-122.3937712,Ferry Building,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454758,37.7940258,-122.3935615,Don Chee Way & Steuart Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454759,37.807868,-122.4110158,Beach Street & Stockton Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni;GGT,yes,,,yes,,,
node/6582454760,37.8085321,-122.4133492,Jefferson Street & Powell Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454761,37.8082842,-122.4153113,Jefferson Street & Taylor Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454762,37.8074476,-122.4143013,Beach Street & Mason Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454763,37.8073367,-122.4173282,Jones Street & Beach Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6583043857,37.5956001,-122.5030307,Linda Mar Park and Ride,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6584502034,37.629399,-122.466413,Skyline College Transit Center,public_transport:stop_position,SamTrans;Skyline College,,SamTrans;Skyline College,,,,yes,,,
node/6584502035,37.629357,-122.4665018,Skyline College Transit Center,bus_stop,SamTrans;Skyline College,,SamTrans;Skyline College,,,,yes,,,
node/6584560066,37.7262952,-122.4750737,19th Avenue & Winston Drive,public_transport:stop_position,San Mateo County Transit District,,SamTrans,yes,,,yes,,,
node/6584560067,37.5672959,-122.3237426,1st Avenue & B Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6584560068,37.5672099,-122.3238678,1st Avenue & B Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6584560069,37.5672623,-122.3239251,1st Avenue & B Street,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6584560070,37.5672446,-122.3236867,1st Avenue & B Street,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6585455395,37.6158185,-122.3903002,SFO Airport Terminal G Ground Level,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6585455396,37.6159045,-122.390352,SFO Airport Terminal G Ground Level,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6585455404,37.6146123,-122.3897435,SFO Airport Terminal A Ground Level,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6585455405,37.6146272,-122.389657,SFO Airport Terminal A Ground Level,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6585455412,37.6160674,-122.3844269,SFO Airport Terminal 2 Ground Level,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6585455413,37.6160472,-122.384393,SFO Airport Terminal 2 Ground Level,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
